Ext.ID,raw_count,unmapped_count,mapped_count,host_count,human_count,unmapped_avlength,mapped_avlength,p_Sediment.Soil,p_Skin,p_aOral,p_mOral,p_Unknown,classified,unclassified,Bacteria,Archaea,Eukaryota,Viruses,species_raw
MV_134,1876749,974753,118494,117765,729,50.92,57.25,1.3,2.9,18.6,22.8,54.4,9.9,90.1,9.7,0,0.09,0,3701
RM_066,10713820,9083542,148176,119501,28675,51.41,47.82,2,2.9,49.3,33.5,12.2,16.2,83.8,16,0,0.15,0,8276
RM_201,1897751,967323,125470,124176,1294,41.85,46.41,15.7,3.9,31.3,19.5,29.5,9.2,90.8,9.2,0,0.03,0,2850
HM_023,6174286,2965174,129635,124537,5098,42.51,41.91,22,5,18,11.7,43.3,18.5,81.5,18.4,0,0.02,0,4447
MV_140,13750645,10213681,126541,125886,655,51.5,53.37,5.8,11.7,22.2,17.9,42.3,20.7,79.3,20.7,0,0.01,0,7945
MV_022,2278533,1918736,128571,128030,541,47.57,51.88,1.9,2.3,19.6,15.9,60.3,20,80,19.9,0,0.03,0,4800
MV_110,8281513,7651477,129608,129155,453,64.49,63.01,4.2,3.2,18.2,20.7,53.7,25.1,74.9,25.1,0,0.01,0,7891
HM_085,9611203,8706183,136253,135582,671,60.06,49.74,4.6,1.1,22.5,8.8,63.1,4.2,95.8,4.2,0,0.02,0,8023
RM_089,403467,143204,185022,137453,47569,46.27,45.32,22.8,17.5,3.8,33.5,22.4,24.9,75.1,15.2,0,9.7,0,877
MV_021,1882962,1634071,139637,139412,225,59.29,65.42,4,3.9,21.6,25.8,44.7,18.3,81.7,18.2,0,0.04,0,6172
RM_185,15401214,12763986,166477,141919,24558,50.35,48.87,0.9,1.3,62.5,29.5,5.8,9.4,90.6,9.3,0.1,0.05,0,8561
MV_045,3300239,2745084,144973,144609,364,51,51.68,4.2,4.5,26.6,26.7,38.1,22.9,77.1,22.8,0,0.01,0,5545
RM_199,17402362,14125318,165023,150085,14938,52.21,49.7,11,5.4,17.3,13.6,52.7,12.6,87.4,12.5,0,0.05,0,8905
MV_232,12863234,10053881,153643,150222,3421,46.4,44.59,3.2,6.9,15.5,46.4,27.9,17.3,82.7,17.2,0,0.01,0,7157
RM_071,23206875,18927223,197447,158602,38845,51.71,46.85,3.4,5.1,35.2,30.2,26.1,20.4,79.6,20.3,0,0.03,0,9335
RM_113,10991949,9863676,164932,161070,3862,67.89,61.27,5,5.3,18.1,34.5,37.1,20,80,19.9,0,0.03,0,7122
RM_112,7748022,6901301,168450,161840,6610,56.08,61.58,6.6,6.1,21.3,19.9,46.1,12,88,11.9,0,0.1,0,8780
MS_134,12455335,11815224,165934,164881,1053,67.82,54.12,2.1,0.8,33.3,8.3,55.5,3.8,96.2,3.6,0.2,0.02,0,8787
MS_004,8266500,7312459,171900,168968,2932,52.54,54.6,5.7,7.2,20.3,20.5,46.2,27.4,72.6,27.3,0,0.03,0,7519
MS_136,7566907,6829508,176140,169053,7087,60.65,45.38,1.6,0.7,49.6,5.8,42.3,7.6,92.4,7.3,0.2,0.07,0,7725
RM_070,12760384,10355277,215454,180890,34564,51.89,47.24,1,0.7,55.7,31.4,11.1,11.8,88.2,11.6,0,0.1,0,7957
MV_100,13292831,10886783,184004,182091,1913,52.26,51.36,3.7,1.2,51.6,21.2,22.2,9.6,90.4,8.7,0.9,0.01,0,8405
MV_247,14234741,12829603,208190,183595,24595,59.34,58.8,3.2,3.6,40.3,23.2,29.7,33.8,66.2,33.6,0,0.19,0,9015
RM_074,18181725,15085085,257724,186457,71267,55.84,52.44,2.3,2.8,40.7,33,21.1,13.2,86.8,13,0,0.14,0,9328
RM_162,6312726,5344743,197703,191632,6071,51.51,57.1,5.6,3.8,22.8,22.1,45.7,10.5,89.5,10.3,0.1,0.11,0,6981
DM_002,8020905,7494734,193303,191785,1518,63.11,55.83,4.1,2.4,34.6,17.3,41.7,10.5,89.5,8.6,1.8,0.03,0,NA
RM_195,7226444,4856650,193911,191814,2097,44.39,42.79,8.6,3.1,30.8,19.8,37.8,8.1,91.9,8,0,0.03,0,6000
RM_082,14229165,11457464,238515,192599,45916,52.95,46.78,2.6,2.7,46.7,34.1,14,15.5,84.5,15.4,0,0.08,0,8841
MV_126,6048867,5454825,198803,197946,857,55.41,55.78,5.4,4.1,23.2,20.6,46.7,18,82,17.9,0,0.02,0,7157
RM_086,12448703,10104945,232029,198543,33486,54.32,49.48,2.9,3.8,36.7,36.7,19.9,13.5,86.5,13.3,0,0.08,0,8740
MS_113,2946179,2478811,199923,198567,1356,53.55,58.27,7.2,5.1,19.1,23.9,44.7,7.7,92.3,7.6,0.1,0.03,0,6597
RM_039,11066548,8913275,201098,199301,1797,51.27,49.2,9.6,4,19.2,18.9,48.4,9.3,90.7,9.2,0.1,0.01,0,8336
RM_184,1289088,934368,238812,203214,35598,56.11,60.23,2.5,9.1,42.1,33.2,13.1,24.5,75.5,21.3,0,3.23,0,4135
MV_207,2993920,2592153,212718,210767,1951,55.55,59.21,5.7,3,25.1,18.5,47.8,14.4,85.6,13.8,0.4,0.15,0,7228
RM_041,8488673,6819709,288464,210847,77617,51.55,59.12,8.9,8.5,16.9,17,48.7,13,87,12.8,0,0.07,0,8139
MV_015,2062827,1700384,211592,211162,430,56.05,66.53,7.7,5,24.4,26.6,36.3,19,81,18.9,0,0.08,0,5040
RM_063,12490205,10598657,271654,211746,59908,53.02,48.05,1.8,11.9,41.9,29.5,14.9,29.1,70.9,28.8,0,0.2,0.1,8168
MV_203,2367285,1919011,213584,211832,1752,59.14,60.11,1.7,7.7,30.2,36.9,23.5,14.3,85.7,14,0,0.26,0,6064
RM_205,2189946,1773287,214364,213418,946,50.34,53.03,8,3.8,14.3,16.6,57.4,15.8,84.3,15.7,0,0.02,0,5121
MV_013,6179804,4317857,216489,215489,1000,44.14,45.98,7,4.6,27.1,25,36.3,13.4,86.6,13.4,0,0.01,0,5668
HM_071,4764946,3205811,217892,216427,1465,45.5,46.92,10.8,4.2,20.9,20.2,43.9,5.5,94.5,4.9,0.6,0.01,0,5904
RM_057,11404347,9317466,226212,224737,1475,50.54,46.34,6.5,3.2,19.9,21,49.5,5.9,94.1,5.9,0,0,0,6698
MV_090,2769149,2368283,226606,225797,809,56.07,56.96,1.6,2.5,49.2,19.2,27.5,12.6,87.4,12.6,0,0.04,0,7156
RM_046,10738412,8127624,240141,238413,1728,45.66,44.63,12.2,15.4,13.4,9.8,49.2,19.4,80.6,19.4,0,0.01,0,7305
RM_187,22357942,19797957,275475,242354,33121,62.3,55.31,2.4,9.9,35,26.3,26.5,35.3,64.7,34.6,0.6,0.08,0,9066
HM_011,10480385,8060480,250168,245153,5015,45.2,49.16,2.1,29.5,9.8,8.5,50.1,39,61,38.9,0,0.04,0,5962
HM_065,6225603,4605550,251593,245675,5918,53.51,47.26,6.3,5.6,15.7,15.9,56.5,10.1,89.9,10,0,0.08,0,6598
RM_144,5473196,4247111,257498,251621,5877,51.74,52.19,7.6,5,27.2,19.7,40.4,13.9,86.1,13.8,0,0.08,0,6474
DM_012,11405926,9986866,261357,258580,2777,61.44,66.41,4.6,2.4,16.6,15.6,60.7,11.5,88.5,11.2,0.3,0.03,0,9017
MV_067,11628290,9730471,261471,260159,1312,54.04,50.02,8.1,3.2,24.7,16.3,47.8,11.7,88.3,11.6,0,0.01,0,8581
MS_107,6502151,5407339,265764,264424,1340,58.25,57.25,7.5,5,22.6,22.4,42.5,22.6,77.4,22.5,0,0.02,0,7516
MV_167,12765036,9854673,319879,264648,55231,47.18,55.28,1.6,2.7,52.4,32.9,10.4,10.5,89.5,10.3,0,0.15,0,8006
DM_029,8359319,6038079,271121,267744,3377,49.62,49.99,13.5,5.1,16.9,18.5,46,20.1,79.9,20.1,0,0.02,0,6169
RM_203,5772929,4196436,270257,268675,1582,46.15,46.94,8,3.9,33,23.1,32.1,13.3,86.7,13.3,0,0.02,0,6407
RM_055,15263705,12332016,274245,269593,4652,51.56,50.3,7.3,2.5,22,18.1,50.1,8,92,8,0,0.02,0,8132
RM_171,12781679,10657967,282645,271291,11354,51.84,55.35,2.2,6.6,24.2,33.4,33.7,10.7,89.3,10.6,0,0.1,0,8412
HM_064,4851217,3993162,286544,283220,3324,63.09,58.6,3.1,5.4,10.4,11.9,69.1,8.8,91.2,8.6,0,0.14,0,5574
