Ext ID,Museum,Sampling date,Catalogue/accession,Species,Collection notes,Sex,Age,Year,Country,Region,Locality,Oral health,Appearance,Sampling comments,Ext Date,Sample weight (g),Pigmented_extract,Qubit concentration (ng/ul),LP date,Extract vol used,LP copies ,Ind date,LP vol used,Ind cycles,Ind copies,Pool,Pooled volume (ul)
F_RM_053,RMCA,20230323,11269,Cephalophus silvicultor,Collector: de l'Epine ,male,M3P4,1931 (received),Rwanda,,?,,,,20230710,0.03,TRUE,6.43,20230712,20,7.46E+05,20230818,18,14,3.10E+06,,
HM_005,NHM London,20230711,NHMUK ZD 1912.4.28.1,Acrocodia indica,Donation from museum,,,1912,Malaysia,Penang,,,,,20230724,0.01,TRUE,2.39,20230726,20,1.68E+05,20230905,12,11,2.45E+05,,
HM_009,NHM London,20230711,NHMUK ZD 1908.8.8.48,Macropus giganteus, ,,,1908,Australia,North Queensland,,,,,20230724,0.012,TRUE,2.57,20230727,5,1.54E+08,20230905,12,11,1.25E+07,Pool D,5
HM_010,NHM London,20230711,NHMUK ZD 1908.8.8.51,Macropus giganteus, ,,,1908,Australia,North Queensland,,,,,20230724,0.014,TRUE,1.07,20230727,10,8.24E+06,20230905,12,11,2.61E+08,Pool D,5
HM_011,NHM London,20230711,NHMUK ZD 1908.8.8.49,Macropus giganteus, ,,,1908,Australia,North Queensland,,,,,20230724,0.013,TRUE,6.26,20230727,4,1.49E+08,20230905,12,11,3.24E+09,Pool C,4
HM_013,NHM London,20230711,NHMUK ZD 1908.6.17.17,Cuniculus paca, ,,,1908,Peru,,,,,,20230724,0.013,TRUE,7.68,20230726,20,2.09E+05,20230905,12,11,2.40E+06,,
HM_018,NHM London,20230731,NHMUK ZD 1949.690.a,Loxodonta africana,Perry collection,female,,<1949,Uganda,,,,,,20230830,0.009,TRUE,0.2,20230914,20,1.03E+06,20230920_remainder,12,11,3.37E+09,Pool C,4
HM_071,NHM London,20230803,NHMUK ZD 1887.9.5.1,Camelus dromedarius,Commissary General Simla,,,1887,India,Punjab,,,,,20230830,0.018,TRUE,8.93,20230906,10,3.15E+06,20230920_8-8,12,11,7.35E+08,Pool D,5
HM_072,NHM London,20230803,NHMUK ZD 1887.9.5.5,Camelus dromedarius,Commissary General Simla,,,1887,India,Punjab,,,,,20230830,0.013,TRUE,4.73,20230906,5,8.98E+06,20230920_8-8,12,11,8.53E+06,,
HM_075,NHM London,20230803,NHMUK ZD 1982.940,Camelus dromedarius,"Collector: Dr. Anderson, Donated by Mrs Simmons, Was property of R Carrington",,,<1962,UAE,,,,,probably old; check register/collectors,20230830,0.015,TRUE,10.8,20230906,4,8.35E+06,20230920_8-8,12,11,2.42E+09,Pool C,4
