Ext ID,Museum,Sampling date,Catalogue/accession,Species,Collection notes,Sex,Age,Year,Country,Region,Locality,Oral health,Appearance,Sampling comments,Ext Date,Sample weight (g),Pigmented_extract,Qubit concentration (ng/ul),LP date,Extract vol used,LP copies ,Ind date,LP vol used,Ind cycles,Ind copies,Pool,Pooled volume (ul)
MV_173,NHM Vienna,20230223,NMW 819,Pongo pygmaeus,Geschenk von General WE von Schierbrand/Batavia(Djakarta) an die Novara Exped Mai Geschenk von General WE von Schierbrand/Batavia(Djakarta) an die Novara Exped Mai,male,,1858,Indonesia,,,,,dusty?,20230723,0.013,TRUE,1.59,20230809,20,6.22E+05,,,,,,
MV_217,NHM Vienna,20230210,NMW 5180/ST 1073,Muntiacus muntjak,Sammler/Erwerb: Dr. Ferdinand Stoliczka leg et don (AV 1867/III/3) ,female,,1867,India,Himachal Pradesh,(NW) Himalaya,,,,20230713,0.022,TRUE,5.39,20230809,4,1.92E+04,,,,,,
MV_218,NHM Vienna,20230210,NMW 1467,Muntiacus muntjak,Sammler/Erwerb: Konsul Johann Schild/Padang leg. et don. (AV 1904/III/2) ,female,,1904,Indonesia,Sumatra,Padang,,,,20230713,0.02,TRUE,6.54,20230809,10,6.09E+06,20230907,12,14,3.12E+06,,
MV_220,NHM Vienna,20230210,NMW 2120,Muntiacus muntjak,Sammler/Erwerb: Ida Pfeiffer leg.; Kauf (AV 1856/X/2) ,male,,1852,Indonesia,Sumatra,,,,,20230713,0.026,TRUE,4.23,20230809,10,1.80E+08,20230907,12,11,3.86E+05,,
MV_221,NHM Vienna,20230210,NMW 3022,Muntiacus muntjak,Sammler/Erwerb: General W. E. v. Schierbrand don.Novara Exp 1857-1859 (AV 1869/X Skel. 45 (2) ) ,male,,1858,Indonesia,West Java,,,,,20230713,0.025,TRUE,9.21,20230809,10,3.99E+06,20230907,12,14,2.83E+05,,
MV_222,NHM Vienna,20230210,NMW 2119,Muntiacus muntjak,Sammler/Erwerb: General W. E. v. Schierbrand don.an. Novara-Exped. 1857-1859 (AV 1869/X Skel. 45 (3) ) ,male,,1858,Indonesia,West Java,,,,,20230814,0.019,TRUE,24.7,20230821,5,1.29E+07,20230908,12,11,6.21E+05,,
MV_224,NHM Vienna,20230210,NMW 1468,Muntiacus muntjak,Sammler/Erwerb: Konsul Johann Schild/Padang leg. et don. (AV 1904/III/2) ,male,,1904,Indonesia,Sumatra,Padang,,,,20230801,0.023,TRUE,6.36,20230810,10,8.07E+07,20230908,12,11,9.65E+04,,
MV_225,NHM Vienna,20230210,NMW 2931,Muntiacus muntjak,Sammler/Erwerb: Dr. V. Pietschmann ,male,,1929,Indonesia,West Java,,,,,20230801,0.021,TRUE,47.6,20230810,10,7.71E+08,20230908,12,11,7.80E+08,Pool D,5
MV_233,NHM Vienna,20230213,NMW 3651:2/B 1297,Marmota marmota,Wettstein Otto ,male,,1923,Austria,Tyrol,"Traulalm, Gem. Gschnitz",,,pooled,20230703,0.01,TRUE,6.91,20230706,20,4.41E+08,20230818,18,11,1.02E+10,Pool C,4
MV_233,NHM Vienna,20230213,NMW 3651:4/B 1302,Marmota marmota,Wettstein Otto ,male,,1923,Austria,Tyrol,"Traulalm, Gem. Gschnitz",,,pooled,20230703,0.01,TRUE,6.91,20230706,20,4.41E+08,20230818,18,11,1.02E+10,Pool C,4
MV_235,NHM Vienna,20230214,NMW 31544,Marmota marmota,"KR 435; Schw 165; HF 89; O 25; H. G. Hiedenroth leg., Dipl.-Ing. Nelbock don. (No. 27) ",male,,1980,Austria,Carinthia,"Jagdrevier v. Dipl.-Ing. Nelbock-Hochstetter, Obere Wolayer-Alm",,,pooled,20230703,0.012,TRUE,7.06,20230706,20,2.63E+08,20230818,18,11,3.21E+07,Pool D,5
MV_235,NHM Vienna,20230214,NMW 31546,Marmota marmota,"H. G. Hiedenroth leg., Dipl.-Ing. Nelbock don. (No. 32) ",male,,1980,Austria,Carinthia,"Jagdrevier v. Dipl.-Ing. Nelbock-Hochstetter, Obere Wolayer-Alm",,,pooled,20230703,0.012,TRUE,7.06,20230706,20,2.63E+08,20230818,18,11,3.21E+07,Pool D,5
MV_237,NHM Vienna,20230214,NMW 3683,Marmota marmota,"T147: 47 01'N, 11 17'E, 1980m; Sammler/Erwerb: Dr. O. Wettstein leg. et don.; Publikation: Wttstein 1927:142 ",male,adult,1923,Austria,Tyrol,"Traulalm, Gem. Gschnitz",,,pooled,20230703,0.012,TRUE,11.6,20230706,20,3.83E+08,20230829,6,11,4.21E+09,Pool C,4
MV_237,NHM Vienna,20230214,NMW 3651:3,Marmota marmota,"T147: 47 01'N, 11 17'E, 1980m; Sammler/Erwerb: Dr. O. Wettstein leg. et don.; Publikation: Wttstein 1927:142 ",male,adult,1923,Austria,Tyrol,"Traulalm, Gem. Gschnitz",,,pooled,20230703,0.012,TRUE,11.6,20230706,20,3.83E+08,20230829,6,11,4.21E+09,Pool C,4
MV_239,NHM Vienna,20230214,NMW 3419,Marmota marmota,"ST130: 47 25' N, 14 20' E, 1920 m; Sammler/Erwerb: Prof. DI Johann Knotek leg., a.d. Nachlass erhalten *(am Museum) ett. und. Inv. Als ""Lepus spec.?"" ",male,,1927,Austria,Styria,"Kl.Reitersee, Reiteralm, Strechen",,,pooled,20230703,0.01,TRUE,12.3,20230706,20,3.05E+08,20230829,6,11,3.95E+07,Pool D,5
MV_239,NHM Vienna,20230214,NMW 3418,Marmota marmota,"ST130: 47 25' N, 14 20' E, 1920 m; Sammler/Erwerb: Prof. DI Johann Knotek leg., a.d. Nachlass erhalten ",male,adult,1927,Austria,Styria,"Kl.Reitersee, Reiteralm, Strechen",,,pooled,20230703,0.01,TRUE,12.3,20230706,20,3.05E+08,20230829,6,11,3.95E+07,Pool D,5
MV_239,NHM Vienna,20230214,NMW 3426,Marmota marmota,"ST130: 47 25' N, 14 20' E, 1920 m; Sammler/Erwerb: Prof. DI Johann Knotek leg., a.d. Nachlass erhalten *(am Museum) ett. und inv. als ""Lepus spec.?"" bzw. ""Lepus cuniculus"" ",male,,1927,Austria,Styria,"Kl.Reitersee, Reiteralm, Strechen",,,pooled,20230703,0.01,TRUE,12.3,20230706,20,3.05E+08,20230829,6,11,3.95E+07,Pool D,5
MV_240,NHM Vienna,20230214,NMW 25121,Marmota marmota,KR 350; Schw 150; HF 67.2; O 25; Gew 881; leg.: Dr. W. Sixl leg. et don. (L. Wald praep) ,male,,1970,Austria,Carinthia,"vermutl. Poellatal, Katschberggebiet",,,"pooled, still small amount",20230703,0.006,TRUE,3.24,20230706,20,1.54E+08,20230818,18,11,3.35E+07,Pool D,5
MV_240,NHM Vienna,20230214,NMW 13466,Marmota marmota,KR 470; Schw 200; HF 88; O 31; leg.: Dr. W. Sixl leg. et don. ,male,,1970,Austria,Carinthia,"Poellatal, Katschberggeebiet",,,"pooled, still small amount",20230703,0.006,TRUE,3.24,20230706,20,1.54E+08,20230818,18,11,3.35E+07,Pool D,5
MV_243,NHM Vienna,20230215,NMW 3712,Marmota marmota,"T147: 47 01'N, 11 17'E, 1980m; Sammler/Erwerb: Dr. O. Wettstein leg. et don.; Publikation: Wttstein 1927:142 ",male,adult,1923,Austria,Tyrol,"Traulalm, Gem. Gschnitz",,,"pooled, very dark calculus on back molars from right side",20230703,0.01,TRUE,3.15,20230706,20,1.61E+08,20230818,18,11,1.04E+07,Pool D,5
MV_243,NHM Vienna,20230215,NMW 3687/B 1300,Marmota marmota,Wettstein Otto ,male,,1923,Austria,Tyrol,Gschnitz,,,pooled,20230703,0.01,TRUE,3.15,20230706,20,1.61E+08,20230818,18,11,1.04E+07,Pool D,5
MV_260,NHM Vienna,20230220,NMW 1491,Acrocodia indica,Consul Schild ,,,1904,Indonesia,Sumatra,,,,,20230608,0.025,TRUE,0.978,20230620,20,1.03E+05,20230622,18,11,1.45E+06,,
MV_262,NHM Vienna,20230220,NMW 1490,Acrocodia indica,"Consul Schild, Padang, 1904, don. ",,,1904,Indonesia,Sumatra,,,,,20230828,0.017,TRUE,2.92,20230830,20,5.07E+06,20230920_7-7,12,11,8.27E+06,,
MV_289,NHM Vienna,20230222,NMW 2310/B 5642,Ovis ammon,Dr. G. v. Almasy leg. (*); Kauf (AV 1996/VII) ,male,,1900,Kyrgyzstan,Tjan Shan,"Bel Karasu, Nordhang d. chrebet Saryzhas",,,,20230801,0.016,TRUE,10.5,20230810,10,8.99E+06,20230908,12,11,2.68E+08,Pool D,5
RB_009,RBINS,20230316,1417,Ovis ammon,Frechkop Serge (M.) ,male,,1936,,,,,,,20230801,0.02,TRUE,18.1,20230810,10,7.23E+07,20230908,12,11,4.08E+06,,
RM_030,RMCA,20230323,1983.006-M-0491,Cephalophus silvicultor,Collector: Colyn ,?,M3,1979,Congo (DR),,Tshopo,,,,20230614,0.022,TRUE,3.62,20230620,20,1.66E+06,20230622,18,11,3.23E+08,Pool D,5
RM_051,RMCA,20230323,10156,Cephalophus silvicultor,Collector: Sjoren ,?,M3,1930 (received),Congo (DR),,Monolithe,,,,20230710,0.024,TRUE,21.6,20230712,20,3.58E+06,20230818,18,14,9.25E+06,,
RM_053,RMCA,20230323,11269,Cephalophus silvicultor,Collector: de l'Epine ,male,M3P4,1931 (received),Rwanda,,?,,,,20230710,0.03,TRUE,6.43,20230831,10,7.15E+06,20230920_remainder,12,14,1.21E+11,Pool A,2
RM_065,RMCA,20230324,1844,Piliocolobus foai,Collector: Christy ,male,M3,1913,Congo (DR),,Mawambi,,,,20230609,0.012,TRUE,6.65,20230620,20,1.90E+06,20230622,18,11,1.81E+06,,
RM_068,RMCA,20230324,11978 b,Piliocolobus foai,Collector: Schwetz ,male,M3,1932,Congo (DR),,Stanleyville,,,,20230707,0.013,TRUE,5.07,20230712,20,3.25E+06,20230720,12,10,5.50E+06,,
RM_068,RMCA,20230324,11969 c,Piliocolobus foai,Collector: Schwetz ,?,M3,1932,Congo (DR),,Stanleyville,,,,20230707,0.013,TRUE,5.07,20230712,20,3.25E+06,20230720,12,10,5.50E+06,,
RM_069,RMCA,20230324,20014,Piliocolobus foai,Collector: Prigogine ,?,M3,1949,Congo (DR),,Lutunguru,,,,20230809,0.01,TRUE,3.59,20230815,20,5.49E+07,20230907,12,11,3.00E+05,,
RM_080,RMCA,20230327,1983.006-M-0379,Piliocolobus foai,Collector: Colyn ,female,M2,1979,Congo (DR),,Tshopo,,,,20230809,0.019,TRUE,5.17,20230815,20,5.80E+08,20230907,12,11,6.04E+10,Pool A,3
RM_081,RMCA,20230327,1983.006-M-0406,Piliocolobus foai,Collector: Colyn ,male,M3,1982,Congo (DR),,Tshopo,,,,20230809,0.025,TRUE,3.75,20230815,20,4.86E+08,20230907,12,11,6.33E+10,Pool A,3
RM_090,RMCA,20230327,1836,Piliocolobus foai,Collector: Christy ,male,M3,1913,Congo (DR),,Lenda,,,,20230809,0.017,TRUE,11,20230815,20,5.70E+07,20230907,12,11,1.10E+06,,
RM_093,RMCA,20230327,2888,Piliocolobus foai,Collector: Christy ,male,M3,1913,Congo (DR),,Zambo,,,,20230814,0.022,TRUE,25,20230821,10,1.76E+08,20230908,12,11,2.03E+10,Pool B,3
RM_094,RMCA,20230327,9833,Piliocolobus foai,Collector: Dorsinfang ,?,M3,<1929,Congo (DR),,Lungu,,,,20230814,0.03,TRUE,5.23,20230821,5,2.68E+07,20230908,12,11,1.49E+05,,
RM_094,RMCA,20230327,9834,Piliocolobus foai,Collector: Dorsinfang ,?,M3,<1929,Congo (DR),,Lungu,,,,20230814,0.03,TRUE,5.23,20230821,5,2.68E+07,20230908,12,11,1.49E+05,,
RM_112,RMCA,20230328,35107,Equus quagga,Collector: Vandromme ,male,M1,1966,Rwanda,,Gabiro,,,,20230710,0.016,TRUE,5.83,20230809,4,2.30E+08,20230907,12,11,3.79E+10,Pool B,2
RM_114,RMCA,20230328,35545,Equus quagga,Collector: Vandromme ,male,M2,1966,Rwanda,,Gabiro,,,,20230710,0.018,TRUE,4.68,20230809,5,2.28E+08,20230907,12,11,8.74E+09,Pool C,4
RM_115,RMCA,20230328,1977.053-M-0017,Equus quagga,Collector: Vandromme ,?,M2C,1977,Rwanda,,Gabiro,,,,20230710,0.014,TRUE,7.46,20230809,10,2.81E+08,20230907,12,11,3.88E+03,,
RM_116,RMCA,20230328,13838,Equus quagga,Collector: Van den Berghe ,male,M3C,1936,Rwanda,,Katodjo,,,,20230710,0.023,TRUE,2.41,20230809,10,2.35E+08,20230907,12,11,3.32E+10,Pool B,3
RM_117,RMCA,20230328,1153,Equus quagga,Collector: Bayer ,?,M3C,<1912,Kenya,,Tsavo,,,,20230726,0.021,TRUE,14.6,20230809,10,2.16E+08,20230907,12,11,2.91E+09,Pool C,4
RM_118,RMCA,20230328,13840,Equus quagga,Collector: Van den Berghe ,?,pd4,1936,Rwanda,,Katodjo,,,soft; difficult to sample,20230828,0.013,TRUE,3.37,20230830,20,1.80E+08,20230920_7-7,12,11,2.39E+10,Pool B,3
RM_120,RMCA,20230328,32795,Equus quagga,Collector: Vandromme ,male,M3C,1964,Rwanda,,Gabiro,,,,20230808,0.016,TRUE,8.09,20230811,10,1.01E+08,20230904,12,11,4.70E+08,Pool D,5
RM_121,RMCA,20230328,1978.026-M-0005,Equus quagga,Collector: Vandromme ,?,M3C,<1978,Rwanda,,Akagera,,,,20230726,0.026,TRUE,22.9,20230809,10,2.04E+07,20230907,12,11,4.92E+09,Pool C,4
RM_123,RMCA,20230328,1977.053-M-0018,Equus quagga,Collector: Vandromme ,?,M3C,1977,Rwanda,,Gabiro,,,,20230726,0.019,TRUE,24.6,20230831,4,1.97E+08,20230906,12,11,4.74E+10,Pool A,3
RM_124,RMCA,20230328,17456,Equus quagga,Collector: Deflines ,male,M3C,<1946,Rwanda,,Akagera vallei,,,,20230726,0.018,TRUE,13.5,20230831,10,4.93E+08,20230906,12,11,6.76E+09,Pool C,2
RM_126,RMCA,20230329,32796,Equus quagga,Collector: Vandromme ,male,M3C,1964,Rwanda,,Gabiro,,,,20230808,0.016,TRUE,9.56,20230811,10,7.75E+07,20230904,12,11,1.15E+10,Pool C,4
RM_127,RMCA,20230328,13837,Equus quagga,Collector: Van den Berghe ,male,M3C,1936,Rwanda,,Katodjo,,,difficult to sample; maybe not enough,20230828,0.015,TRUE,10.4,20230830,20,1.99E+08,20230920_7-7,12,11,2.26E+10,Pool B,3
RM_128,RMCA,20230329,1977.053-M-0019,Equus quagga,Collector: Vandromme ,?,M3C,1977,Rwanda,,Gabiro,,,big plaques,20230726,0.025,TRUE,16,20230831,5,1.39E+08,20230906,12,11,2.72E+10,Pool B,3
RM_130,RMCA,20230329,34824,Equus quagga,Collector: Vandromme ,male,M3C,1966,Rwanda,,Gabiro,,,,20230726,0.019,TRUE,10.8,20230831,5,3.32E+08,20230906,12,11,2.47E+10,Pool B,3
RM_131,RMCA,20230329,2680,Equus quagga,Collector: ministerie van colonieen ,?,M1,<1914,Congo (DR),,Kapiri,,,maybe not enough; soft and difficult to sample,20230726,0.016,TRUE,6.01,20230831,10,9.93E+07,20230906,12,11,4.06E+10,Pool B,2
RM_136,RMCA,20230329,1978.026-M-0007,Equus quagga,Collector: Vandromme ,?,M3C,<1978,Rwanda,,Akagera,,,,20230726,0.027,TRUE,24.7,20230831,4,2.28E+08,20230906,12,11,5.03E+10,Pool A,3
RM_137,RMCA,20230329,38126,Equus quagga,Collector: Vandromme ,male,M3C,<1972,Rwanda,,?,,,,20230726,0.018,TRUE,12.2,20230801,10,2.99E+08,20230905,12,11,4.17E+09,Pool C,4
RM_138,RMCA,20230329,35100,Equus quagga,Collector: Vandromme ,male,M3C,1966,Rwanda,,Gabiro,,,,20230808,0.016,TRUE,12.4,20230811,10,1.31E+08,20230904,12,11,2.25E+10,Pool B,3
RM_140,RMCA,20230329,33519,Equus quagga,Collector: Vandromme ,male,M3C,1964,Rwanda,,Gabiro,,,,20230808,0.013,TRUE,9.31,20230811,10,1.52E+08,20230904,12,11,2.09E+10,Pool B,3
RM_142,RMCA,20230329,25673,Giraffa camelopardalis,Collector: Poll ,?,M3P4,<1957,Congo (DR),,Gangala Na Bodio,,,,20230713,0.026,TRUE,6.45,20230809,10,4.02E+07,20230907,12,11,1.79E+10,Pool B,3
RM_143,RMCA,20230329,25672,Giraffa camelopardalis,Collector: Poll ,?,M3P4,<1957,Congo (DR),,Gangala Na Bodio,,,,20230713,0.025,TRUE,4.81,20230809,5,1.08E+05,,,,,,
RM_144,RMCA,20230329,3747,Giraffa camelopardalis,Collector: de Calonne ,male,M3,1914,Congo (DR),,Kapili,,,,20230803,0.022,TRUE,9.42,20230816,5,1.40E+07,20230907,12,11,1.21E+10,Pool C,4
RM_145,RMCA,20230329,3709,Giraffa camelopardalis,Collector: Lebrun ,male,M3P4,,Congo (DR),,Aiwa,,,,20230814,0.021,TRUE,7.61,20230821,10,9.13E+07,20230908,12,11,1.20E+10,Pool C,4
RM_146,RMCA,20230329,25548,Giraffa camelopardalis,Collector: Poll ,male,M3P4,1956,Congo (DR),,Gangala Na Bodio,,,,20230814,0.023,TRUE,3.22,20230821,10,5.15E+06,20230908,12,11,1.08E+09,Pool C,4
RM_147,RMCA,20230329,2213,Syncerus caffer,Collector: Christy ,female,M2W,1912,Congo (DR),,Makala,,,,20230808,0.02,TRUE,4.42,20230811,20,4.20E+06,20230905,12,11,2.56E+08,Pool D,5
RM_150,RMCA,20230329,2248,Syncerus caffer,Collector: Maes ,?,M3W,<1913,Congo (DR),,Kapanda,,,soft,20230808,0.01,TRUE,2.61,20230811,20,9.47E+04,,,,,,
RM_151,RMCA,20230329,6045,Syncerus caffer,Collector: Pilette ,?,M3,<1898,Congo (DR),,?,,,,20230808,0.02,TRUE,6.66,20230811,20,1.16E+06,20230905,12,11,6.49E+07,Pool D,5
RM_196,RMCA,20230331,1025,Okapia johnstoni,Collector: Borgerhoff ,female,M3,<1912,Congo (DR),,Beni,,,,20230713,0.025,TRUE,3.37,20230809,10,5.80E+02,,,,,,
RM_198,RMCA,20230331,1039,Okapia johnstoni,Collector: Hutereau ,female,M3,<1912,Congo (DR),,Uele,,,,20230713,0.023,TRUE,1.36,20230809,20,2.26E+04,,,,,,
RM_202,RMCA,20230331,3073,Okapia johnstoni,Collector: Bonnevie ,male,M3,<1914,Congo (DR),,Beni,,,,20230803,0.029,TRUE,1.37,20230816,15,2.67E+06,20230908,12,11,2.35E+09,Pool C,4
RM_203,RMCA,20230331,2904,Okapia johnstoni,Collector: Thelie ,female,M3,<1914,Congo (DR),,Kilo,,,,20230803,0.028,TRUE,4.25,20230816,20,1.03E+08,20230908,12,11,3.45E+10,Pool B,2
RM_204,RMCA,20230331,750,Okapia johnstoni,Collector: Van Hulde ,male,M3,<1906,Congo (DR),,Mawambi,,,,20230803,0.031,TRUE,4.1,20230816,10,4.27E+06,20230908,12,11,2.94E+06,,
RM_205,RMCA,20230331,6293,Okapia johnstoni,Collector: ministerie van colonieen ,male,M3,<1923,Congo (DR),,Uele,,,,20230803,0.023,TRUE,18.6,20230816,10,4.08E+07,20230908,12,11,2.48E+10,Pool B,3
RM_206,RMCA,20230331,11043,Okapia johnstoni,Collector: Libois ,?,M3,1930,Congo (DR),,Kanwa,,,,20230814,0.026,TRUE,11,20230821,10,2.33E+08,20230908,12,11,3.35E+10,Pool B,2
RM_210,RMCA,20230331,6026,Papio anubis,Collector: Pilette ,?,M3,,Congo (DR),,?,,,,20230809,0.02,TRUE,8.9,20230815,20,1.52E+09,20230907,12,11,9.91E+10,Pool A,3
RM_211,RMCA,20230331,6343,Giraffa camelopardalis,Collector: Pilette ,?,M3P4,<1923,Tanzania,,Ufipa,,,,20230803,0.015,TRUE,5.93,20230816,10,3.33E+07,20230907,12,11,1.84E+09,Pool C,4
