Ext.ID,merged_count,unmapped_count,mapped_count,host_count,human_count,phix_count,submitted_F_avlength,submitted_R_avlength,merged_avlength,unmapped_avlength,mapped_avlength,perc_unique,p_OralH,p_OralMM,p_OralTM,p_Rumen,p_Sediment.Soil,p_Skin,p_Unknown,submitted_count
HM_084,15448036,15369896,78140,49626,28514,0,68.8432929062591,68.3023696664079,61.8768392952994,62.0269155367089,32.009278218582,90.652889276305,21.1819,4.2568,6.5073,1.1832,4.6044,3.6135,58.6528,15466945
HM_085,9547817,9325761,222056,183471,38585,0,66.3231254031975,63.3684570237423,56.8672596049966,57.7974443050814,39.3495514644954,96.0825875392865,29.5939,4.2972,9.6438,1.8539,6.0292,4.7581,43.8239,9573472
HM_086,984602,820412,164190,158082,6108,0,67.4367206262121,66.0045569187793,59.6153075049614,61.9032400793748,48.6808210000609,91.1845903946217,30.4718,2.5517,10.9584,0.5143,0.8011,11.5122,43.1906,995190
HM_088,13767894,13614354,153540,72235,81304,1,62.7145023500262,60.2782946567188,52.9535176549151,53.2780319947608,23.3635730102905,91.1678233370315,22.6274,3.8278,8.0507,1.5931,4.5665,3.9991,55.3353,13782187
HM_089,13931831,13645376,286455,145393,141061,1,55.8924037197091,52.1168121447079,44.278568409278,44.6989985472002,23.5810860344557,91.7928456565338,32.0675,3.8596,8.2489,1.5178,3.7107,2.9477,47.6477,13943456
HM_090,9304530,9270703,33827,23098,10728,1,63.5385500877698,63.544776007369,57.0035824485493,57.0901331862319,33.283294409791,96.2716205680093,24.1849,4.2943,10.448,1.8047,5.6742,4.9367,48.6571,9325530
HM_091,26101,23732,2369,NA,2369,0,56.8754358481985,60.7487156164199,52.5274127428068,54.7963509185909,35.7222456732799,40.6109454747587,1.5707,0.9162,45.8551,0.3054,20.8988,29.014,1.4398,59367
LB_11,30,25,5,NA,5,0,60.4571428571429,55.9428571428571,30.6666666666667,33.2,19.2,55.7142857142857,NA,NA,NA,NA,NA,NA,NA,105
LB_12,30,16,14,NA,14,0,48.3478260869565,45.3913043478261,30.6666666666667,41.375,19.0714285714286,81.8840579710145,NA,NA,NA,NA,NA,NA,NA,69
LB_13,100,95,5,NA,5,0,49.9787234042553,50.563829787234,35.58,36.5263157894737,18.4,60.9042553191489,NA,NA,NA,NA,NA,NA,NA,188
