,x
Artiodactyla,#168251
Perissodactyla,#392282
Primates,#BD4A20
Carnivora,#60026D
Rodentia,#E0BF0E
Sirenia,#07406B
Proboscidea,#6D7380
Diprotodontia,#A76001
