odds_ratio,p.value,Order1,Order2,label
1.19265582636384,0.988756838514496,Carnivora,Artiodactyla,NA
1.34913676860157,0.998829022463342,Diprotodontia,Artiodactyla,NA
0.807564795364431,0.98986358726985,Perissodactyla,Artiodactyla,NA
0.571082034731363,0.256128722361975,Primates,Artiodactyla,NA
3.14783964374118,0.0137825495826505,Proboscidea,Artiodactyla,*
1.62385990701429,0.892414732713427,Rodentia,Artiodactyla,NA
0.076452857378895,0.997362350397205,Sirenia,Artiodactyla,NA
1.13120377126301,0.999997636678757,Diprotodontia,Carnivora,NA
0.677114702760922,0.864486201882327,Perissodactyla,Carnivora,NA
0.478832218069545,0.116318842479556,Primates,Carnivora,NA
2.63935292492412,0.112654556382433,Proboscidea,Carnivora,NA
1.36154946894035,0.993387010818063,Rodentia,Carnivora,NA
0.064103034328004,0.996013863070746,Sirenia,Carnivora,NA
0.598578894415204,0.979383061422399,Perissodactyla,Diprotodontia,NA
0.423294396848519,0.731753260057915,Primates,Diprotodontia,NA
2.33322500505566,0.819395781501976,Proboscidea,Diprotodontia,NA
1.20362882756318,0.999986307754487,Rodentia,Diprotodontia,NA
0.0566679814516811,0.99500283305876,Sirenia,Diprotodontia,NA
0.707165589695684,0.947737919066449,Primates,Perissodactyla,NA
3.89794065047208,0.0111863406328299,Proboscidea,Perissodactyla,*
2.0108106697265,0.70491303277033,Rodentia,Perissodactyla,NA
0.0946708645767477,0.998493493718981,Sirenia,Perissodactyla,NA
5.51206210719258,0.000307201706412408,Proboscidea,Primates,***
2.84347923460446,0.178439974630313,Rodentia,Primates,NA
0.133873686667203,0.999463503433099,Sirenia,Primates,NA
0.515864875850013,0.846923150382847,Rodentia,Proboscidea,NA
0.0242874053419161,0.976184590556557,Sirenia,Proboscidea,NA
0.0470809440202664,0.992493630961662,Sirenia,Rodentia,NA
