odds_ratio,p.value,Order1,Order2,label
1.80542680101989,8.6830592807452e-05,Carnivora,Artiodactyla,***
1.52075003571836,0.000215940009604232,Diprotodontia,Artiodactyla,***
1.42374988433891,4.88498130835069e-14,Perissodactyla,Artiodactyla,***
2.67007658080415,0,Primates,Artiodactyla,***
1.21264225041057,0.134939528422853,Proboscidea,Artiodactyla,NA
0.953451180702338,0.879466853963119,Rodentia,Artiodactyla,NA
0.43717727864186,1.97486027531113e-10,Sirenia,Artiodactyla,***
0.842321624371195,0.879466853963119,Diprotodontia,Carnivora,NA
0.788594632324409,0.406681411323398,Perissodactyla,Carnivora,NA
1.47891710663419,0.048147535364178,Primates,Carnivora,*
0.671665142959852,0.0900462499617625,Proboscidea,Carnivora,.
0.52810292843982,0.000124985788045651,Rodentia,Carnivora,***
0.242146221821288,4.19664303308309e-14,Sirenia,Carnivora,***
0.936215585006625,0.879466853963119,Perissodactyla,Diprotodontia,NA
1.75576295781106,2.10069235673238e-06,Primates,Diprotodontia,***
0.797397482774183,0.406681411323398,Proboscidea,Diprotodontia,NA
0.62696114305988,0.000404079371113086,Rodentia,Diprotodontia,***
0.287474777822608,2.44249065417534e-14,Sirenia,Diprotodontia,***
1.8753831766202,0,Primates,Perissodactyla,***
0.851724213465791,0.406681411323398,Proboscidea,Perissodactyla,NA
0.669676037336468,4.78056975339314e-07,Rodentia,Perissodactyla,***
0.307060448924885,0,Sirenia,Perissodactyla,***
0.454160101297678,0,Proboscidea,Primates,***
0.357087578520009,0,Rodentia,Primates,***
0.163732112323982,0,Sirenia,Primates,***
0.786259245362367,0.130737744941019,Rodentia,Proboscidea,NA
0.360516284579267,6.54132303878896e-11,Sirenia,Proboscidea,***
0.458520884435659,7.18747723560398e-08,Sirenia,Rodentia,***
