odds_ratio,p.value,Order1,Order2,label
1.05351180435336,0.999997391015995,Carnivora,Artiodactyla,NA
1.2281357744169,0.999954098626927,Diprotodontia,Artiodactyla,NA
0.717902327955663,0.914826579129544,Perissodactyla,Artiodactyla,NA
0.468047822327996,0.0771579576297687,Primates,Artiodactyla,.
3.08739807388219,0.0347697707543575,Proboscidea,Artiodactyla,*
1.4803981136155,0.977431811053152,Rodentia,Artiodactyla,NA
0.025328502443792,0.999179329742531,Sirenia,Artiodactyla,NA
1.16575416558405,0.999994892257816,Diprotodontia,Carnivora,NA
0.681437383984802,0.900410412457876,Perissodactyla,Carnivora,NA
0.444273923076999,0.111436927482236,Primates,Carnivora,NA
2.93057757979011,0.0890993960979651,Proboscidea,Carnivora,.
1.40520315719116,0.992818906590373,Rodentia,Carnivora,NA
0.0240419730838597,0.999101318853288,Sirenia,Carnivora,NA
0.584546385595284,0.985200696483862,Perissodactyla,Diprotodontia,NA
0.38110429813855,0.730871524352696,Primates,Diprotodontia,NA
2.51388986315299,0.832654458855878,Proboscidea,Diprotodontia,NA
1.20540264721005,0.999993004780623,Rodentia,Diprotodontia,NA
0.020623536071016,0.998857280901249,Sirenia,Diprotodontia,NA
0.651965879064404,0.899956317090041,Primates,Perissodactyla,NA
4.3005823406006,0.0108105670985122,Proboscidea,Perissodactyla,*
2.06211632971181,0.749703191472668,Rodentia,Perissodactyla,NA
0.0352812652327216,0.999559672956638,Sirenia,Perissodactyla,NA
6.59633038890333,0.000152542309798331,Proboscidea,Primates,***
3.16292063117019,0.181135609017844,Rodentia,Primates,NA
0.0541152019847289,0.999822677655106,Sirenia,Primates,NA
0.479496999800224,0.83205485964824,Rodentia,Proboscidea,NA
0.00820383437369422,0.995521552900228,Sirenia,Proboscidea,NA
0.0171092506879339,0.998432953403674,Sirenia,Rodentia,NA
