Variable,Importance
Pigmented_extract,8.5664746081168
PC2_scaled,6.58228343028855
PC1_scaled,5.76537352148983
LP.vol.used,5.13838498337333
order,4.33607827960632
DNA_input_ug,3.15008686778996
