nr,learner_id,classif.logloss
1,classif.featureless,0.480782338928196
2,classif.kknn,0.600070053945338
3,classif.nnet,0.419723595290548
4,classif.ranger,0.386742643667849
5,classif.rpart,0.435882161081708
