Variable,Importance
PC2_scaled,7.53751838003589
Pigmented_extract,7.52002866289758
PC1_scaled,5.58063578112841
order,4.51376108268443
LP.vol.used,4.51099824697289
DNA_input_ug,3.33279180912774
