Variable,Importance
DNA_input_ug,32.6381214962171
PC2_scaled,17.6509706499416
PC1_scaled,16.9734745795735
LP.vol.used,13.1980946320421
order,10.7217664145863
Pigmented_extract,7.20614594026167
